policy,capacity_fraction,month_expected_cost,month_review_rate,month_savings,row_expected_cost,row_review_rate,row_savings,expected_cost_delta_month_minus_row,savings_delta_month_minus_row
all_review,,0.1619720889817785,1.0,0.4577488008360063,0.16216494751979,1.0,0.4594845276781105,-0.00019285853801148667,-0.0017357268421042127
capacity_aware_deferral,0.01,0.6132307933859082,0.0099992447700324,0.0064900964318765,0.6151670952251942,0.009987385916747,0.0064823799727063,-0.0019363018392859477,7.716459170199752e-06
capacity_aware_deferral,0.02,0.6067580651687134,0.0199984895400649,0.0129628246490713,0.6086946432060919,0.0199896119314387,0.0129548319918086,-0.0019365780373784558,7.992657262699196e-06
capacity_aware_deferral,0.05,0.5874588725315038,0.0499962238501623,0.032262017286281,0.5893901266724438,0.0499962899755138,0.0322593485254567,-0.0019312541409400863,2.668760824303673e-06
capacity_aware_deferral,0.1,0.5557000560925613,0.0999924477003247,0.0640208337252234,0.5576214842978013,0.0999925799510276,0.0640279909000992,-0.0019214282052399945,-7.15717487580203e-06
capacity_aware_deferral,0.2,0.4937931755243553,0.2,0.1259277142934295,0.4956668191079039,0.2,0.1259826560899967,-0.0018736435835485787,-5.494179656720388e-05
capacity_aware_deferral,0.3,0.4343476184703663,0.2999924477003247,0.1853732713474185,0.4361454562316042,0.2999925799510277,0.1855040189662963,-0.0017978377612379304,-0.0001307476188778245
capacity_aware_deferral,0.5,0.3245997751928682,0.4999924477003247,0.2951211146249166,0.3260832674003797,0.4999925799510277,0.2955662077975208,-0.0014834922075114831,-0.0004450931726042162
cost_aware_reject_option,,0.1618072158564869,0.9916924703572236,0.4579136739612979,0.1619709430358151,0.990977220449655,0.4596785321620854,-0.00016372717932819358,-0.001764858200787478
no_review_cost_sensitive,,0.6197208898177848,0.0,0.0,0.6216494751979006,0.0,0.0,-0.0019285853801157549,0.0
