model,fixed_0.5_cost,cost_5_to_1_cost,cost_5_to_1_delta,cost_5_to_1_approval_rate,cost_5_to_1_approved_default_rate,robust_cost,robust_approval_rate,robust_approved_default_rate,split_conformal_coverage,split_conformal_automation_rate,split_conformal_review_rate,split_conformal_approved_default_rate,split_conformal_expected_cost
lr,1.0656199334414198,0.6645469824179983,-0.40107295102342155,0.3523449470759116,0.1110771822680846,0.7248874922552376,0.0934417167216374,0.0646787898038592,0.8984332392213314,0.0934417167216374,0.9065582832783624,0.0646787898038592,0.120874314101589
rf,1.0797330236665097,0.6766714773852941,-0.4030615462812156,0.3379498918515825,0.1146887693489955,0.7328455833521929,0.0779150914345711,0.0613780296176372,0.9006407283601138,0.0779150914345711,0.9220849085654288,0.0613780296176372,0.1161198648052029
xgb,1.0753032051258269,0.6656117712967051,-0.40969143382912176,0.3705799203819884,0.1142914351504229,0.7111787992001098,0.1206624693455815,0.0687513452018571,0.8974352315266549,0.090351231927342,0.909648768072658,0.0602587800369685,0.1181967596285482
