model,calibration,roc_auc,pr_auc,brier,ece,nll
lr,isotonic,0.6723748955990876,0.3428814736211467,0.1598267774339986,0.0043517507452683,0.4923469363694429
rf,isotonic,0.6618708501513458,0.3355262287717132,0.1609901851411286,0.0049746490156456,0.4963713386478288
xgb,isotonic,0.6718627574455462,0.3457347365938474,0.159721764990198,0.0038254933178928,0.4925080786729976
